电影名,导演,评分,评价人数,评价
完美的世界,"
                            1995 / 美国 奥地利 瑞士 / 剧情 爱情
                        ",9.1,288453人评价,坏人的好总是比好人的好来得更感人。
爱在日落黄昏时,"
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...",8.9,510133人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
无人知晓,"
                            1994 / 中国香港 / 剧情 爱情
                        ",9.1,292987人评价,我的平常生活就是他人的幸福。
消失的爱人,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",8.7,863674人评价,年度最佳date movie。
借东西的小人阿莉埃蒂,"
                            2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ",8.9,511890人评价,曾经的那段美好会沉淀为一辈子的记忆。
甜蜜蜜,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...",8.9,491495人评价,相逢只要一瞬间，等待却像是一辈子。
倩女幽魂,"
                            2001 / 法国 德国 / 剧情 喜剧 爱情
                        ",8.8,683409人评价,两张绝世的脸。 
小森林 冬春篇,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...",9.0,354636人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
侧耳倾听,"
                            导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...",8.9,429585人评价,少女情怀总是诗。
时空恋旅人,"
                            1995 / 日本 / 剧情 爱情 动画
                        ",8.8,605350人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
幸福终点站,"
                            导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...",8.8,524657人评价,有时候幸福需要等一等。 
驯龙高手,"
                            2013 / 英国 / 喜剧 爱情 奇幻
                        ",8.8,706015人评价,和谐的生活离不开摸头与被摸头。
萤火之森,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...",8.9,492878人评价,触不到的恋人。
教父3,"
                            2004 / 美国 / 喜剧 剧情 爱情
                        ",9.0,342107人评价,任何信念的力量，都无法改变命运。
怪兽电力公司,"
                            导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...",8.8,618699人评价,不要给它起名字，起了名字就有感情了。
玛丽和马克思,"
                            2010 / 美国 / 动画 奇幻 冒险
                        ",8.9,402536人评价,你是我最好的朋友，你是我唯一的朋友 。
一个叫欧维的男人决定去死,"
                            导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...",8.9,426163人评价,惠及一生的美丽。
寄生虫,"
                            2011 / 日本 / 剧情 爱情 动画 奇幻
                        ",8.8,1277591人评价,跨度十五年的欢乐与泪水。
玩具总动员3,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...",8.9,475674人评价,爱是摈弃傲慢与偏见之后的曙光。
傲慢与偏见,"
                            1990 / 美国 / 剧情 犯罪
                        ",8.7,735498人评价,好的剧本是，就算你猜到了结局也猜不到全部。
未麻的部屋,"
                            导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...",9.1,296163人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
大鱼,"
                            2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险
                        ",8.8,534268人评价,Mr. I Don't Care其实也有Care的时候。
神偷奶爸,"
                            导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...",8.6,889244人评价,没有一人完全善，也没有一人完全恶。
告白,"
                            2009 / 澳大利亚 美国 / 剧情 喜剧 动画
                        ",8.8,635063人评价,揭露人性的丧尸题材力作。
釜山行,"
                            导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...",8.6,1111941人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
被解救的姜戈,"
                            2015 / 瑞典 / 剧情
                        ",8.8,565821人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
阳光姐妹淘,"
                            导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...",8.8,563569人评价,百看不厌。 
射雕英雄传之东成西就,"
                            2019 / 韩国 / 剧情
                        ",8.7,592698人评价,想你时你在闹海。
哈利·波特与火焰杯,"
                            导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...",8.7,590289人评价,爱并不需要智商 。
哪吒闹海,"
                            2010 / 美国 / 喜剧 动画 奇幻 冒险
                        ",9.1,238481人评价,恐怖分子的“秋菊打官司”。
我是山姆,"
                            导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...",9.0,313260人评价,要做就做得狠一点，这样才能活下去。
